公司名,企业名称,企业税号,企业地址,企业电话,开户银行,银行账户
182创意设计产业园工会联合会,182创意设计产业园工会联合会,814403003195258965,深圳市龙岗区南湾街道布澜路182号182设计园1栋109室,null,null,null
3M国际贸易（深圳）有限公司罗湖分公司,3M国际贸易（深圳）有限公司罗湖分公司,914403007992442243,深圳市罗湖区深南东路4003号世界金融中心A座14楼ABCDEHFG,0755-8246****,null,null
4076923加拿大有限公司深圳代表处,4076923加拿大有限公司深圳代表处,914403003266801225,深圳市罗湖区南湖街道国贸商业大厦10H-I,null,null,null
ABB电网投资（中国）有限公司深圳分公司,飞利浦家电（中国）投资有限公司深圳分公司,91440300MA5GFY8494,深圳市罗湖区桂园街道红村社区深南东路5002号信兴广场主楼5516单元,1381810****,null,null
ABB（中国）有限公司深圳分公司,ABB（中国）有限公司深圳分公司,914403007330445618,深圳市南山区粤海街道大冲社区华润置地大厦B座1002,0755-8831****,null,null
Amsus（HK）Limited深圳代表处,Amsus（HK）Limited深圳代表处,914403007576090105,深圳市罗湖区笋岗路翠盈嘉园东座3303室,null,null,null
AT&T（中国）有限公司深圳分公司,AT&T（中国）有限公司,911101057177442694,北京市朝阳区建国门外大街1号(一期)16号楼22层28-32单元,010-5921****,花旗银行（中国）有限公司北京分行,1733885218
BT科技（香港）有限公司深圳代表处,BT科技（香港）有限公司深圳代表处,91440300319373976T,深圳市南山区招商街道水湾社区兴华路3、5、7号海滨花园海虹阁、海阳阁、海晖阁C804,2585****,深圳招商银行蔡屋围支行,755924957910901
CAPINOR （香港）有限公司深圳代表处,CAPINOR （香港）有限公司深圳代表处,null,深圳市南山区太子路海景广场24F,null,null,null
CBC（北京）信用管理有限公司深圳分公司,CBC（北京）信用管理有限公司深圳分公司,91440300MA5F1LYM9B,深圳市龙岗区龙岗街道南联社区碧新路（龙岗段）2095号1207,0755-2850****,null,null
CLP中电企业管理（北京）有限公司深圳分公司,CLP中电企业管理（北京）有限公司深圳分公司,91440300319416788G,深圳市福田区福田街道福华三路168号深圳国际商会中心1113-1115室,0755-8831****,中国工商银行深圳卓越时代广场支行 ,4000109709100075627
DVS韩国有限公司深圳代表处,DVS韩国有限公司深圳代表处,91440300732072800J,深圳市宝安区82区新安六路径贝股份合作公司工业厂房A栋510,null,null,null
EDF（中国）投资有限公司深圳分公司,EDF（中国）投资有限公司深圳分公司,9144030058405874XN,深圳市福田区莲花街道福中社区深南中路中广核大厦北楼14层05室,010-5651****,中国银行北京恒基中心支行,336356020905
GTH （HK） Holding Limited 深圳代表处,GTH （HK） Holding Limited 深圳代表处,null,深圳市罗湖区建设路2016号南方证券大厦24层A2单元,null,null,null
Gworld（平潭）互联网科技有限公司深圳分公司,Gworld（平潭）互联网科技有限公司深圳分公司,91440300MA5F4GFG1J,深圳市龙华区民治街道民乐社区星河WORLD二期E栋1305A,1870689****,null,null
"Hori（H.K.）Co.,Limited深圳代表处",Hori（H.K.）Co.,91440300732084457W,深圳市罗湖区桂园路2号电影大厦1110、1111室,null,null,null
i深圳市罗湖区港东行商店,深圳市罗湖区真真美甲美容店,92440300MA5JJ2MM2Q,深圳市罗湖区南湖街道建设路火车站连廊二楼B-43,1355685****,null,null
Knightlite （HK） Limited深圳代表处,Knightlite （HK） Limited深圳代表处,null,深圳市宝安区福永镇凤凰第一工业区华伦工业小区第8栋第三层西,null,null,null
KOSHKCO.LIMITED深圳代表处,KOSHKCO.LIMITED深圳代表处,91440300671875887H,深圳市福田区车公庙泰然九路盛唐商务大厦西座906房,null,null,null
NEWERACAPASIAPACIFICLIMITED深圳代表处,NEWERACAPASIAPACIFICLIMITED深圳代表处,914403006700053107,深圳市福田区华强北路赛格科技园3栋6楼1-15轴A-D轴间东6E13,null,null,null
OPPO广东移动通信有限公司深圳分公司,OPPO广东移动通信有限公司深圳分公司,91440300MA5EW0BF6X,深圳市南山区粤海街道海德三道126号卓越后海金融中心7层,0755-6686****,招商银行股份有限公司深圳南油支行 ,755936426510901
PAROS（香港）有限公司深圳代表处,PAROS（香港）有限公司深圳代表处,914403006837936860,深圳市福田区福华路嘉汇新城汇商中心1508,null,null,null
RELAYTRONICS新加坡私人有限公司深圳代表处,RELAYTRONICS新加坡私人有限公司深圳代表处,91440300MA5JKR7F37,深圳市南山区南海大道粤海大厦Ｂ—17C,null,null,null
RUBIK CUBE （H. K.） LIMITED深圳代表处,,,,,,
SEW—传动设备（广州）有限公司深圳分公司,,,,,,
SK（北京）汽车租赁有限公司深圳分公司,,,,,,
SMC自动化有限公司深圳营业所,,,,,,
SMC自动化有限公司观澜营业所,,,,,,
SMC自动化有限公司龙华营业所,,,,,,
SMC自动化有限公司龙岗营业所,,,,,,
SMC（广州）自动化有限公司深圳分公司,,,,,,
SMC（广州）自动化有限公司观澜分公司,,,,,,
SMC（广州）自动化有限公司龙岗分公司,,,,,,
"SunWorldCommerceCo.,Limited深圳代表处",,,,,,
TCL互联网科技（深圳）有限公司,,,,,,
TCL互联网金融服务（深圳）有限公司,,,,,,
TCL华星光电技术有限公司,,,,,,
TCL商用信息科技（惠州）有限责任公司深圳分公司,,,,,,
TCL建设管理（深圳）有限公司,,,,,,
TCL数码科技（深圳）有限责任公司,,,,,,
TCL文化传媒（深圳）有限公司,,,,,,
TCL科技产业园（深圳）有限公司,,,,,,
TCL通讯（深圳）有限公司,,,,,,
TCL金融科技（深圳）有限公司,,,,,,
TELERGY香港有限公司深圳代表处,,,,,,
TR（HK）COMPANYLIMITED深圳代表处,,,,,,
TUTEESADVERTISING&MARKETINGSOLUTIONS香港有限公司深圳代表处,,,,,,
VGM集团（株洲）实业有限公司深圳分公司,,,,,,
《中国信息技术教育》杂志社有限公司深圳分公司,,,,,,
《中国基金报》社有限公司,,,,,,
《深圳青少年报》社,,,,,,
一一四网络有限公司,,,,,,
一一百电子商务服务（深圳）有限公司,,,,,,
一一设计（广州）有限公司深圳分公司,,,,,,
一丁影像设计（深圳）有限公司,,,,,,
一七一七科技（深圳）有限公司,,,,,,
一万个兄弟（深圳）信息科技有限公司,,,,,,
一万年信息技术（深圳）有限公司,,,,,,
一三一四投资（深圳）有限公司,,,,,,
一三七生命健康管理（深圳）有限公司,,,,,,
一三九快递（北京）有限公司深圳分公司,,,,,,
一且星科技（深圳）有限公司,,,,,,
一丝能源科技（深圳）有限公司,,,,,,
一个仙文化传媒（深圳）有限公司,,,,,,
一个家咨询服务（深圳）有限公司,,,,,,
一个盒子纸品设计（深圳）工作室,,,,,,
一个萝卜（深圳）国际教育咨询有限公司,,,,,,
一个赞（深圳）科技有限公司,,,,,,
一个道商务科技（深圳）有限公司,,,,,,
一中健康科技（深圳）有限公司,,,,,,
一丰装饰设计工程（深圳）有限公司,,,,,,
一丹奖（深圳）教育咨询有限公司,,,,,,
一丹教科文（深圳）有限公司,,,,,,
一为洗涤服务管理（深圳）有限公司,,,,,,
一久商业保理（深圳）有限公司,,,,,,
一乐也文化传播（深圳）有限公司,,,,,,
一乐教育科技（深圳）有限公司,,,,,,
一乐浦（深圳）国际贸易有限公司,,,,,,
一乐贸易（深圳）有限公司,,,,,,
一乐食品（深圳）有限公司,,,,,,
一乐餐饮服务（深圳）有限公司,,,,,,
一乐餐饮服务（深圳）有限公司华侨城店,,,,,,
一乔餐饮管理（深圳）有限公司,,,,,,
一乘科技（深圳）有限公司,,,,,,
一九一一未来教育科技（北京）有限公司深圳分公司,,,,,,
一九一五（深圳）酒业有限公司,,,,,,
一九九一（深圳）文化传媒有限公司,,,,,,
一九二投资实业（深圳）合伙企业（有限合伙）,,,,,,
一九五七（深圳）餐饮管理有限公司,,,,,,
一九八五文化发展（深圳）有限公司,,,,,,
一九八五（深圳）科技有限公司,,,,,,
一九八六文化产业（深圳）有限公司,,,,,,
一九八六（深圳）工程有限公司,,,,,,
一九六九享趣生活（深圳）贸易有限公司,,,,,,
一九善科技（深圳）有限公司,,,,,,
一九正气（广东）中药科技有限公司,,,,,,
一九科技投资（深圳）有限公司,,,,,,
一九达文化传媒深圳有限公司,,,,,,
一九零六（深圳）文化传播有限公司,,,,,,
一也创意设计（深圳）有限公司,,,,,,
一也精工（深圳）有限公司,,,,,,
一乡一品产业博览会（深圳）有限公司,,,,,,
一二一网络科技（深圳）有限公司,,,,,,
一二三四劳务派遣（深圳）有限公司,,,,,,
一二三教育发展（深圳）有限公司,,,,,,
一二三文体传媒（深圳）有限责任公司,,,,,,
一二三模型（深圳）有限公司,,,,,,
一二三跨境物流供应链（深圳）有限公司,,,,,,
一二三（深圳）健康管理有限公司,,,,,,
一二三（深圳）环保新材料有限公司,,,,,,
一二令康寿（深圳）实业有限公司,,,,,,
一二八电子科技（深圳）有限公司,,,,,,
一二四有声文化艺术传媒（深圳）有限公司,,,,,,
一五零九国际设计（深圳）有限公司,,,,,,
一些情缘（深圳）贸易有限公司,,,,,,
一亦品牌管理（深圳）有限公司,,,,,,
一亦文化传媒（深圳）有限公司,,,,,,
一亩三分地（深圳）网络科技有限公司,,,,,,
一亩良田（深圳）科技有限公司,,,,,,
一享（深圳）科技有限公司,,,,,,
一人一点（深圳）科技有限公司,,,,,,
一人成团（深圳）软件运营服务有限公司,,,,,,
一人餐饮（深圳）有限责任公司,,,,,,
一人（深圳）科技有限公司,,,,,,
一亿里（深圳）科技有限公司,,,,,,
一介传媒（深圳）有限公司,,,,,,
一代倾城美容连锁管理（深圳）有限公司,,,,,,
一代天娇生物科技（深圳）有限公司,,,,,,
一件珠宝（深圳）有限公司,,,,,,
一件订制（深圳）有限公司,,,,,,
一企智法（深圳）科技有限公司,,,,,,
一休哥艺术教育（深圳）有限责任公司,,,,,,
一休在线互联网（深圳）有限责任公司,,,,,,
一休建设（深圳）有限公司,,,,,,
一休电子商务（深圳）有限公司,,,,,,
一众一戏文化发展（深圳）有限公司,,,,,,
一众三磊（深圳）贸易有限公司,,,,,,
一众企业服务（深圳）有限公司,,,,,,
一体展览（深圳）有限公司,,,,,,
一佳投资（深圳）有限公司,,,,,,
一依传媒（深圳）有限公司,,,,,,
一侨文化传播（深圳）有限公司,,,,,,
一信实业（深圳）有限公司,,,,,,
一偌科技（深圳）有限公司,,,,,,
一兀即合（深圳）科技发展有限公司,,,,,,
一允（深圳）贸易有限公司,,,,,,
一元云购商务（深圳）有限公司,,,,,,
一元淘金（深圳）商贸有限公司,,,,,,
一元钱信息技术（深圳）有限公司,,,,,,
一元（深圳）生物技术有限公司,,,,,,
一兆声学科技（深圳）有限公司,,,,,,
一兆数码科技（深圳）有限公司,,,,,,
一兆韦德健身管理有限公司深圳分公司,,,,,,
一兆韦德健身管理有限公司深圳第七分公司,,,,,,
一兆韦德健身管理有限公司深圳第九分公司,,,,,,
一兆韦德健身管理有限公司深圳第二分公司,,,,,,
一兆韦德健身管理有限公司深圳第六分公司,,,,,,
一兆韦德健身管理有限公司深圳第十分公司,,,,,,
一兆韦德健身管理有限公司深圳第四分公司,,,,,,
一克信息科技（深圳）有限公司,,,,,,
一克拉实业（深圳）有限公司,,,,,,
一克文化传播（深圳）工作室,,,,,,
一兑通互联网金融服务（深圳）有限公司,,,,,,
一八八（深圳）财务代理有限公司,,,,,,
一公资本（深圳）有限公司,,,,,,
一公里科技（深圳）有限公司,,,,,,
一六七通信科技（深圳）有限公司,,,,,,
一六九（深圳）管理咨询有限公司,,,,,,
一六八八（深圳）实业有限公司,,,,,,
一六八投资顾问（深圳）有限公司,,,,,,
一六八科技（深圳）有限公司,,,,,,
一六八（深圳）财税顾问有限公司,,,,,,
一六澪益药益家（深圳）电商有限公司,,,,,,
一兰化妆品（深圳）有限公司,,,,,,
一兵贸易（深圳）企业,,,,,,
一典科技（深圳）有限公司,,,,,,
一农农业发展（深圳）有限公司,,,,,,
一冶建设投资（广东）有限公司,,,,,,
一凌方振电子商务（深圳）有限公司,,,,,,
一凡创意设计（深圳）有限公司,,,,,,
一凡动物园管理（深圳）有限公司,,,,,,
一凡国际投资控股（深圳）有限公司,,,,,,
一凡子（深圳）科技有限公司,,,,,,
一凡深圳眼镜有限公司,,,,,,
一凡环境工程（深圳）有限公司,,,,,,
一凡风顺（深圳）投资有限公司,,,,,,
一凡餐厅（深圳）有限公司,,,,,,
一凡餐厅（深圳）有限公司盛平店,,,,,,
一凡餐厅（深圳）有限公司科学园店,,,,,,
一凡（深圳）医学美容健康管理有限公司,,,,,,
一凡（深圳）医学美容健康管理有限公司之凡医疗美容门诊部,,,,,,
一出科技发展有限责任公司广东分公司,,,,,,
一切从柬（深圳）咨询有限公司,,,,,,
一切正好（深圳）教育服务有限公司,,,,,,
一创传媒（深圳）有限公司,,,,,,
一创元（深圳）科技有限公司,,,,,,
一创设计有限责任公司,,,,,,
一创（深圳）服饰有限公司,,,,,,
一利顺贸易（深圳）有限公司,,,,,,
一刻罗贝（深圳）科技有限公司,,,,,,
一力健康管理（深圳）有限公司,,,,,,
一加一检测技术（深圳）有限公司,,,,,,
一加一科技贸易（深圳）有限公司,,,,,,
一加一（深圳）品牌设计有限公司,,,,,,
一加商贸（深圳）有限公司,,,,,,
一加电子商务（深圳）有限公司,,,,,,
一加精密零组件（深圳）有限公司,,,,,,
一加联合品牌顾问（深圳）有限公司,,,,,,
一加装饰设计工程（深圳）有限公司,,,,,,
一加（深圳）企业管理有限公司,,,,,,
一勺卤（深圳）餐饮管理有限公司,,,,,,
一北中合（深圳）环境发展有限公司,,,,,,
一匠十品（深圳）科技有限公司,,,,,,
一匠电器制造（深圳）有限公司,,,,,,
一匹黑马（深圳）企业服务有限公司,,,,,,
一十一建筑设计（深圳）有限公司,,,,,,
一十九文创科技（深圳）有限公司,,,,,,
一十贸易（深圳）有限公司,,,,,,
一千番跨境电商科技（深圳）有限公司,,,,,,
一千零一（深圳）科技有限公司,,,,,,
一半电商科技深圳有限公司,,,,,,
一半网络科技（深圳）有限公司,,,,,,
一南图文设计（深圳）有限公司,,,,,,
一博装饰工程（深圳）有限公司,,,,,,
一卜农业科技（深圳）有限公司,,,,,,
一卜投资控股（深圳）有限公司,,,,,,
一卡通（深圳）交通智能科技有限公司,,,,,,
一叁一玖俱乐部（深圳）有限公司,,,,,,
一双人文化传播（深圳）有限公司,,,,,,
一口品鲜（深圳）餐饮管理有限公司,,,,,,
一只大眼怪（深圳）玩具有限责任公司,,,,,,
一只摩羯座（深圳）科技有限公司,,,,,,
一只老鹰（深圳）健康产业集团有限公司,,,,,,
一只（深圳）信息科技有限公司,,,,,,
一可油墨涂料（深圳）有限公司,,,,,,
一叶商贸（深圳）有限公司,,,,,,
一叶桐科技（深圳）有限公司,,,,,,
一叶舟光学科技（深圳）有限公司,,,,,,
一叶餐饮文化（深圳）有限公司,,,,,,
一号云网（深圳）信息科技有限公司,,,,,,
一号仓商贸（深圳）有限公司,,,,,,
一号仓材料（深圳）有限公司,,,,,,
一号传媒（深圳）有限公司,,,,,,
一号传媒（深圳）有限公司华强北营业厅,,,,,,
一号传媒（深圳）有限公司南山分公司,,,,,,
一号传媒（深圳）有限公司宝安分公司,,,,,,
一号传媒（深圳）有限公司第七分公司,,,,,,
